Nr,Weaknesses,Strengths,Type,Predicting,Chemical group,Data,Best method,Best setup,Mode,Other Class,Other methods,Data preprosessing,Validation parameters,Validation,Testing,Code given (FAIR),Databases given (FAIR),Supervized,"Software, packages",Year,More info,Source,Lead author,Country lead author,Journal,AD,Data given,Outlier handeling
1,,Optimization ranged given,Process monitoring,Predict Total nitrogen and Total phosphorus in river water,Nitrogen and Phosphorus,82 predictor variables ~470 datapoints. predictors explained in the paper. After reduction by Pearson R the predictors ranged between 38 and 62,DT,"RF (n_features=38, max_depth=60, max_features=sqrt, min_samples_split=5, min_samples_leaf=2, n_estimators=60, bootstrap=True)",R,None,None,Pearson correlation columns (keeping 1 per higly correlated set),"MSE,R^2,MAPE","training: 70%, validation: 30%",,Yes,Yes,Supervized,Python; sci-kit Learn,2022,Would have loved to see a heatmap of the MAE when optimizing parameters. Also a y versus y_hat would be amazing. Python,"Virro, H., Kmoch, A., Vainu, M., & Uuemaa, E. (2022). Random forest-based modeling of stream nutrients at national level in a data-scarce region. Science of The Total Environment, 840, 156613. https://doi.org/10.1016/j.scitotenv.2022.156613",Holger Virro,Estonia,Science of The Total Environment,No,Yes,"Tested, only one extreme value removed."
2,"No PC mentioned for PLSR, No optimization explained for Cubist, No code given, Not all packages given, No access to the data",Explained the features importance in the model.,Process monitoring,Predicting Soil Organic carbon concentration,Organic molecules,"114 spectral samples (Vis-NIR), 350-2500 nm",SVM,"SVR (linear kernel, epsilon=0.1)",R,"DE,DT","PLSR, Cubist","Pearson correlation columns (keeping 1 per higly correlated set). different combinations of: Savitzky-Golay, discrete wavelet transformation, first and second-order derivative, multiplicative scatter correction, standard normal variate, logarithmic transformation, continuum
removal and correction by the maximum reflectance","R^2,RMSE,RPIQ",training: 75%. 10-fold cross-validation,testing: 25%. 5-fold cross-validation on traing set (the original 75%) and on the 25% of training data,No,No,(Un)supervized,"R; e1071; CARET,",2022,,"Biney, J. K. M., Blöcher, J. R., Bell, S. M., Borůvka, L., & Vašát, R. (2022). Can in situ spectral measurements under disturbance-reduced environmental conditions help improve soil organic carbon estimation? Science of The Total Environment, 838, 156304. https://doi.org/10.1016/j.scitotenv.2022.156304",James Kobina Mensah Biney,Czech Republic,Science of The Total Environment,No,Selfmeasured data,Nothing mentioned
3,"Databases not mentioned, no train-test split mentioned, only accuracy used as validation parameter","Big data, nice scematic of how to process works, mentioned other methods they tested but did not work",Process monitoring,develop an effective approach to identify environmentally exposed polymers using a combination of LDIR and ML,Polymers,"~81.300 samples 223 labeled and 81,069 unlabeled with 1650 parameters (975-1800 cm-1)",CL,K-NN (S),C,"DT,CL","GBDT, t-SNE","samples with adsorption < 0.01 were removed, mean normalized,",Accuracy,10-fold cross-validation (no split size mentioned),Nothing mentioned,No,No,Supervized,"Not given, not given is models were self-coded",2022,"As far as I could see: they at 81000 unlabeled samples, trained the KNN and RF model and labled the samples in the expected groups + the ""extra"" group. If one sample was place in a expected group the named it ""a correct qualification"". Maybe I saw something wrong","Tian, X., Beén, F., & Bäuerlein, P. S. (2022). Quantum cascade laser imaging (LDIR) and machine learning for the identification of environmentally exposed microplastics and polymers. Environmental Research, 212, 113569. https://doi.org/10.1016/j.envres.2022.113569",Xin Tian,the Netherlands,Environmental Research,No,No,"Note that 90% of the unla-
beled samples (≈73,100) in this study can be successfully identified
based on the 223 labeled examples. Thus, considerable effort for the
domain expert to label samples can be saved. The remaining 10% of the
outlier samples (≈8,100) can be clustered and subsequently labeled by
domain experts"
4,Number of PC for PLSR not mentioned,Multiple validation parameters used. Table shown with all obtained validation parameters per model. Thought random forest doesn't need hyperparameter tuning,Process monitoring,Peatlands spectral data influence in global spectral modelling of soil organic carbon and total nitrogen,Organic molecules,"21980 sampels, self measured (elemental analysis + Vis-NIR 400-2450 nm)",DT,Cubist,R,"DT,DE","RF, PLSR","Savitzky-Golay, 2nd order polynomial and zero derivative.","RMSE,R^2,LCCC,RPIQ,RPD,Bias","training: 80%, 10-fold cross-validation",testing: 20%,No,No,Supervized,R; prospectr; clhs,2022,"removing wavelength ranges with high signal-to-noise ratio? Why would you want to keep the noise. They say ""No need to optimize the RF model)","Mendes, W. D. S., Sommer, M., Koszinski, S., & Wehrhan, M. (2022). Peatlands spectral data influence in global spectral modelling of soil organic carbon and total nitrogen using visible-near-infrared spectroscopy. Journal of Environmental Management, 317, 115383. https://doi.org/10.1016/j.jenvman.2022.115383",Wanderson de Sousa Mendes,Germany,Journal of Environmental Management,No,No,Nothing mentioned
5,Did not mention PLS optimization or variance explained,All predictors explained,Process monitoring,Meta-analysis and machine learning to explore soil-water partitioning (Kd) of common pharmaceuticals,Medicine,82 data points from other literature combined. 16 predictors,DE,PLSR,R,None,None,PLS to identify variables with lager weight on the PCA grouping. Data standardised,R^2,Nothing mentioned,Nothing mentioned,No,Mentioned,Unsupervized,SIMCA,2022,,"Garduño-Jiménez, A. L., Durán-Álvarez, J. C., & Gomes, R. L. (2022). Meta-analysis and machine learning to explore soil-water partitioning of common pharmaceuticals. Science of The Total Environment, 837, 155675. https://doi.org/10.1016/j.scitotenv.2022.155675",Andrea-Lorena Garduño-Jiménez,United Kingdom,Science of The Total Environment,No,No,Nothing mentioned
6,"RMSE not mentioned, only vague R^2 mentioned (""mostly >70%""), no optimization ranges given for RF",Code given,QSAR,ecological risks of nanoparticles to soil microbial communities (toxicity),Nanoparticles,"365 samples (downloaded) from 10 studies, samples were soil threated with or without nanoparticles",DT,"RF (n_estimators=150, max_leaf_nodes = 10)",R,None,None,"Data normalized, PERMANOVA, Kruskal-Wallis, PCA, hierarchical bubble chart, sunburst chart, world map","R^2,RMSE","training: 70%, 10-fold cross-validation",testing:30%,Yes,Yes,Supervized,"QIIME2, Dada2, PICRUSt2, BioRender, R; RadnomForest; vegan; picante; ggplot2; ggmap; ggraph; igraph; Kruskal-Wallis, Python; scikit-learn",2022,,"Xu, N., Kang, J., Ye, Y., Zhang, Q., Ke, M., Wang, Y., Zhang, Z., Lu, T., Peijnenburg, W., Josep Penuelas, Bao, G., & Qian, H. (2022). Machine learning predicts ecological risks of nanoparticles to soil microbial communities. Environmental Pollution, 307, 119528. https://doi.org/10.1016/j.envpol.2022.119528",Nuohan Xu,China,Environmental Pollution,No,Yes,Nothing mentioned
7,Optimization ranges not given.,,Process monitoring,Identify used or non used PET bottles,Volatile organic compounds,"127 samples, consisting of 45 samples of vPET and 82 samples of rPET",SVM,"SVM (Gaussian radial bias function kernel, γ = 2 × 10^-11 and C=20)",R,"DT,LS","RF, MLR",Data normalized,"MDG,VI,ROC,AUC",5-fold cross-validation and external validation,29 extra batches,Yes,No,Supervized,"R; RandomForest; pROC, caret, ROSE, e1071",2022,,"Li, H., Wu, X., Wu, S., Chen, L., Kou, X., Zeng, Y., Li, D., Lin, Q., Zhong, H., Hao, T., Dong, B., Chen, S., & Zheng, J. (2022). Machine learning directed discrimination of virgin and recycled poly(ethylene terephthalate) based on non-targeted analysis of volatile organic compounds. Journal of Hazardous Materials, 436, 129116. https://doi.org/10.1016/j.jhazmat.2022.129116",Hanke Li,China,Journal of Hazardous Materials,No,Selfmeasured data,Nothing mentioned
8,No databases given. No code given.,Optimizationranges given for RF and GBDT. Great explanatory plots,process monitoring,"predict aqueous phase characteristics by considering biomass compositions (C, H, O, S, N, protein, lipid, and carbohydrate)",Organic molecules,"12 features. 257 samples pH, 224 samples TN, 174 TOC, 136 TP, 110 Ph + TN + TP.",DT,Gradient booting decision tree,R,DT,RF,Data scaled using StandarScaler and std normalized. Features selected using models trained + Shapley additive explanations (SHAP),"R^2,RMSE",testing size not mentioned. 5-fold cross-validation,"testing was performed, but no test size mentioned",No,No,Supervized,Python; scikit-learn,,"Normal RF models, Nr trees around 80-100 and deph around 4-8.","Leng, L., Zhang, W., Liu, T., Zhan, H., Li, J., Yang, L., Li, J., Peng, H., & Li, H. (2022). Machine learning predicting wastewater properties of the aqueous phase derived from hydrothermal treatment of biomass. Bioresource Technology, 358, 127348. https://doi.org/10.1016/j.biortech.2022.127348",Lijian Leng,China,Bioresource Technology,No,No,"Checked if there were, nothing mentioned about handeling"
9,No optimization ranges given. Did not test the model.,,process monitoring,Predicting the origin of ammonia in groundwater,Nitrogen,304 shallow and 42 deep ground water sampels. 19 predictor variables,DT,Nothing mentioned,C,None,None,Raman normalization,"OOB error,Accuracy,AUC","training: 70%, validation: 30%",Nothing mentioned,No,No,Supervized,"MatLab; DOMFlour, R; RandomForest",,,"Liang, Y., Ma, R., Nghiem, A., Xu, J., Tang, L., Wei, W., Prommer, H., & Gan, Y. (2022). Sources of ammonium enriched in groundwater in the central Yangtze River Basin: Anthropogenic or geogenic? Environmental Pollution, 306, 119463. https://doi.org/10.1016/j.envpol.2022.119463",Ying Liang,China,Environmental Pollution,No,Selfmeasured data,Nothing mentioned
10,Only self made samples. No optimization ranges given,Overview of the whole process given.,Process monitoring,Predtict VOC concentration using a SnO2 hollow-sphere and machine learning,Volatile organic molecules,"64 samples (concentration range of 25-200ppm), 192 signals. Measured with XRD",DT,RF (n_estimators=250),C,"NN,SVM","NN, SVM","Fast Fourier transform, Discrete wavelet transform, data normalized with standardscalar, adding gaussian noise (5 and 10%)",Accuracy,10-fold cross validation,Nothing mentioned,No,No,Supervized,"OriginPro, Python; scikit-learn",2022,Tested how many fold gives optimal result,"Acharyya, S., Nag, S., & Guha, P. K. (2022). Ultra-selective tin oxide-based chemiresistive gas sensor employing signal transform and machine learning techniques. Analytica Chimica Acta, 1217, 339996. https://doi.org/10.1016/j.aca.2022.339996",Snehanjan Acharyya,India,Analytica Chimica Acta,No,No,Nothing mentioned
11,Models worked better on test set than training set. No optimization ranges mentioned. Model setup not mentioned,Example of how the formulas were used. Made a confusion matrix.,QSAR,Our approach has the potential for toxicity prediction in such fields that it is difficult to determine accurate chemical structures (toxicity),Organic molecules,2531 compounds (1306 IGC50 and 1237 DILI),DT,"RF, XGBoost",R,"CL,BA,SVM,NN","kNN, BRR, SVM, FCNN, CNN",Normalized to relative insentisy whereafter std normalzied,"R^2,RMSE,MAE",training: 80% 5-fold cross-validation,Testing: 20%,No,Mentioned,Supervized,Python; PyTorch,2022,,"Hu, S., Liu, G., Zhang, J., Yan, J., Zhou, H., & Yan, X. (2022). Linking electron ionization mass spectra of organic chemicals to toxicity endpoints through machine learning and experimentation. Journal of Hazardous Materials, 431, 128558. https://doi.org/10.1016/j.jhazmat.2022.128558",Song Hu,China,Journal of Hazardous Materials,Yes,Yes,"Checked if there were, nothing mentioned about handeling"
